
> raven@0.1.0 dev
> next dev --hostname 127.0.0.1 --port 3000

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://127.0.0.1:3000
- Network:       http://127.0.0.1:3000

✓ Starting...
Creating turbopack project { dir: 'C:\\Users\\mk0\\raven', testMode: true }
✓ Ready in 1182ms
 GET /api/custom-items 200 in 13ms (compile: 4ms, proxy.ts: 5ms, render: 4ms)
 GET /api/tasks 200 in 17ms (compile: 3ms, proxy.ts: 5ms, render: 9ms)
 GET /api/custom-items 200 in 8ms (compile: 2ms, proxy.ts: 3ms, render: 3ms)
 GET /api/memory 200 in 12ms (compile: 3ms, proxy.ts: 4ms, render: 5ms)
 GET /api/custom-items 200 in 8ms (compile: 2ms, proxy.ts: 3ms, render: 3ms)
 GET /api/tasks 200 in 17ms (compile: 3ms, proxy.ts: 4ms, render: 9ms)
 GET /api/memory 200 in 8ms (compile: 2ms, proxy.ts: 3ms, render: 4ms)
 GET /api/custom-items 200 in 14ms (compile: 5ms, proxy.ts: 5ms, render: 5ms)
 GET /api/tasks 200 in 11ms (compile: 1984µs, proxy.ts: 3ms, render: 6ms)
 GET /api/memory 200 in 10ms (compile: 2ms, proxy.ts: 3ms, render: 5ms)
 GET /session 200 in 42ms (compile: 2ms, render: 40ms)
 GET /api/tasks 200 in 24ms (compile: 8ms, proxy.ts: 6ms, render: 9ms)
 GET /api/profile 200 in 32ms (compile: 20ms, proxy.ts: 7ms, render: 6ms)
 GET /api/relationship 200 in 38ms (compile: 27ms, proxy.ts: 7ms, render: 4ms)
 GET /api/emergency-stop 200 in 47ms (compile: 39ms, proxy.ts: 6ms, render: 2ms)
 GET /api/memory 200 in 31ms (compile: 9ms, proxy.ts: 17ms, render: 4ms)
 GET /api/devices/status 200 in 30ms (compile: 14ms, proxy.ts: 13ms, render: 3ms)
 GET /api/devices/list 200 in 30ms (compile: 16ms, proxy.ts: 11ms, render: 2ms)
 GET /api/custom-items 200 in 9ms (compile: 3ms, proxy.ts: 3ms, render: 3ms)
 GET /api/custom-items 200 in 20ms (compile: 4ms, proxy.ts: 10ms, render: 6ms)
 POST /api/chat 200 in 1901ms (compile: 68ms, proxy.ts: 4ms, render: 1829ms)
 GET /api/custom-items 200 in 29ms (compile: 7ms, proxy.ts: 17ms, render: 4ms)
 GET /api/memory 200 in 37ms (compile: 14ms, proxy.ts: 18ms, render: 5ms)
 GET /api/memory 200 in 11ms (compile: 4ms, proxy.ts: 4ms, render: 3ms)
 GET /api/tasks 200 in 15ms (compile: 4ms, proxy.ts: 4ms, render: 7ms)
 POST /api/relationship 200 in 22ms (compile: 12ms, proxy.ts: 4ms, render: 7ms)
 GET /api/tasks 200 in 16ms (compile: 3ms, proxy.ts: 3ms, render: 10ms)
 GET /api/custom-items 200 in 17ms (compile: 6ms, proxy.ts: 5ms, render: 7ms)
 GET /api/memory 200 in 15ms (compile: 3ms, proxy.ts: 5ms, render: 7ms)
 GET /api/tasks 200 in 12ms (compile: 2ms, proxy.ts: 3ms, render: 7ms)
 GET /api/custom-items 200 in 19ms (compile: 5ms, proxy.ts: 8ms, render: 6ms)
 GET /api/memory 200 in 21ms (compile: 6ms, proxy.ts: 8ms, render: 8ms)
 POST /api/chat 200 in 6.5s (compile: 5ms, proxy.ts: 4ms, render: 6.5s)
 GET /api/memory 200 in 11ms (compile: 3ms, proxy.ts: 3ms, render: 5ms)
 GET /api/custom-items 200 in 9ms (compile: 3ms, proxy.ts: 3ms, render: 3ms)
 GET /api/memory 200 in 16ms (compile: 4ms, proxy.ts: 5ms, render: 8ms)
 GET /api/tasks 200 in 18ms (compile: 4ms, proxy.ts: 3ms, render: 10ms)
 GET /api/custom-items 200 in 9ms (compile: 2ms, proxy.ts: 3ms, render: 3ms)
 GET /api/tasks 200 in 17ms (compile: 3ms, proxy.ts: 4ms, render: 10ms)
 GET /api/custom-items 200 in 12ms (compile: 4ms, proxy.ts: 3ms, render: 5ms)
 GET /api/memory 200 in 8ms (compile: 1679µs, proxy.ts: 3ms, render: 3ms)
 GET /api/memory 200 in 11ms (compile: 3ms, proxy.ts: 4ms, render: 5ms)
 GET /api/custom-items 200 in 11ms (compile: 3ms, proxy.ts: 3ms, render: 5ms)
 GET /api/tasks 200 in 18ms (compile: 4ms, proxy.ts: 4ms, render: 10ms)
 GET /api/memory 200 in 8ms (compile: 1918µs, proxy.ts: 2ms, render: 4ms)
 GET /api/custom-items 200 in 13ms (compile: 5ms, proxy.ts: 4ms, render: 4ms)
 GET /api/tasks 200 in 17ms (compile: 3ms, proxy.ts: 5ms, render: 9ms)
 GET /api/memory 200 in 24ms (compile: 13ms, proxy.ts: 5ms, render: 5ms)
 GET /api/custom-items 200 in 10ms (compile: 4ms, proxy.ts: 3ms, render: 4ms)
 GET /api/memory 200 in 13ms (compile: 3ms, proxy.ts: 4ms, render: 5ms)
 GET /api/custom-items 200 in 9ms (compile: 2ms, proxy.ts: 3ms, render: 4ms)
 GET /api/tasks 200 in 16ms (compile: 3ms, proxy.ts: 3ms, render: 9ms)
 GET /api/custom-items 200 in 16ms (compile: 6ms, proxy.ts: 6ms, render: 4ms)
 GET /api/memory 200 in 23ms (compile: 11ms, proxy.ts: 6ms, render: 6ms)
 GET /api/tasks 200 in 13ms (compile: 3ms, proxy.ts: 3ms, render: 7ms)
 GET /api/custom-items 200 in 8ms (compile: 3ms, proxy.ts: 2ms, render: 3ms)
 GET /api/memory 200 in 13ms (compile: 3ms, proxy.ts: 5ms, render: 6ms)
 GET /api/custom-items 200 in 13ms (compile: 3ms, proxy.ts: 7ms, render: 3ms)
 GET /api/tasks 200 in 15ms (compile: 2ms, proxy.ts: 4ms, render: 9ms)
 GET /api/memory 200 in 11ms (compile: 3ms, proxy.ts: 3ms, render: 5ms)
 GET /api/custom-items 200 in 9ms (compile: 3ms, proxy.ts: 3ms, render: 3ms)
 GET /api/memory 200 in 9ms (compile: 2ms, proxy.ts: 3ms, render: 4ms)
 GET /api/tasks 200 in 12ms (compile: 3ms, proxy.ts: 2ms, render: 7ms)
 GET /api/custom-items 200 in 7ms (compile: 1871µs, proxy.ts: 3ms, render: 3ms)
 GET /api/memory 200 in 8ms (compile: 1840µs, proxy.ts: 3ms, render: 4ms)
 GET /api/custom-items 200 in 14ms (compile: 4ms, proxy.ts: 5ms, render: 6ms)
 GET /api/tasks 200 in 23ms (compile: 4ms, proxy.ts: 5ms, render: 13ms)
 GET /api/custom-items 200 in 9ms (compile: 3ms, proxy.ts: 4ms, render: 3ms)
 GET /api/memory 200 in 17ms (compile: 8ms, proxy.ts: 4ms, render: 4ms)
 GET /api/tasks 200 in 20ms (compile: 4ms, proxy.ts: 4ms, render: 12ms)
 GET /api/custom-items 200 in 9ms (compile: 3ms, proxy.ts: 3ms, render: 4ms)
 GET /api/memory 200 in 18ms (compile: 5ms, proxy.ts: 6ms, render: 7ms)
 GET /api/custom-items 200 in 8ms (compile: 3ms, proxy.ts: 3ms, render: 3ms)
 GET /api/tasks 200 in 15ms (compile: 2ms, proxy.ts: 4ms, render: 9ms)
 GET /api/memory 200 in 23ms (compile: 13ms, proxy.ts: 4ms, render: 5ms)
 GET /api/custom-items 200 in 12ms (compile: 5ms, proxy.ts: 4ms, render: 3ms)
 GET /api/memory 200 in 8ms (compile: 1749µs, proxy.ts: 3ms, render: 4ms)
 GET /api/custom-items 200 in 14ms (compile: 4ms, proxy.ts: 4ms, render: 6ms)
 GET /api/tasks 200 in 27ms (compile: 12ms, proxy.ts: 4ms, render: 11ms)
 GET /api/memory 200 in 10ms (compile: 3ms, proxy.ts: 3ms, render: 4ms)
 GET /api/custom-items 200 in 8ms (compile: 2ms, proxy.ts: 3ms, render: 2ms)
